fips	lat	lon	Am_Ind	Asian	Black_Hisp	White_Hisp	Black_non_Hisp	White_non_Hisp	Tot Active M.D.s Non-Fed & Fed	3-Yr Homicides&Legal Interventn	Births	Poor mental health days Value	Adult smoking Value	Adult obesity Value	Food environment index Value	Physical inactivity Value	Excessive drinking Value	Uninsured Value	Some college Value	Unemployment Value	Income inequality Value	Severe housing problems Value	Population living in a rural area Value	Food insecurity Value	Health care costs Value	Median household income Value	density	Female life expectancy, 2010 (years)
31093	41.219403	-98.513303	0.00238024397501	0.00133888723594	0.00074382624219	0.0130913418625	0.00297530496876	0.978726569473	0.000297530496876	0.0	0.0144302290985	2.6	0.156	0.309	8.0	0.32	0.2	0.141	0.576	0.036	3.677	0.106	1.0	0.115	9703.0	51040.0	11.0	81.6
40031	34.662628	-98.476597	0.0573501999747	0.0215085871473	0.0090757732052	0.0679823370795	0.182963244476	0.61145194274	0.0019454548745	8.14376459091e-05	0.0192735761985	4.3	0.22	0.349	5.4	0.304	0.134	0.185	0.585	0.048	4.445	0.146	0.218	0.189	9082.0	46071.0	116.1	77.1
19059	43.389611	-95.196057	0.00203934740883	0.00257917466411	0.000479846449136	0.00743761996161	0.00137955854127	0.983025431862	0.000719769673704	0.0	0.0111564299424	2.7	0.153	0.328	8.1	0.248	0.187	0.088	0.717	0.049	4.485	0.111	0.35	0.116	7218.0	56551.0	43.8	83.7
19051	40.748089	-92.410345	0.00218315523383	0.00160864069861	0.000229805814087	0.0103412616339	0.00137883488452	0.977823738941	0.000459611628174	0.0	0.0141330575664	3.4	0.195	0.306	7.4	0.308	0.184	0.172	0.604	0.053	3.894	0.139	1.0	0.142	7774.0	46750.0	17.4	80.5
19053	40.736379	-93.78458	0.00269383930663	0.008198641368	0.000702740688686	0.0182712579058	0.00960412274537	0.950456781448	0.000351370344343	0.0	0.0132349496369	3.4	0.193	0.307	7.5	0.249	0.19	0.134	0.577	0.039	5.019	0.166	1.0	0.144	9065.0	36742.0	15.9	80.7
19055	42.473003	-91.359442	0.000885592516743	0.00171583550119	5.53495322965e-05	0.00741683732772	0.00077489345215	0.987048209443	0.000276747661482	0.0	0.0105164111363	2.8	0.159	0.32	8.4	0.286	0.193	0.105	0.575	0.039	3.766	0.079	0.715	0.109	7761.0	55958.0	30.7	82.4
19057	40.915339	-91.186925	0.00293707320655	0.00697554886556	0.000930073182074	0.0190175490124	0.0360036223903	0.922143084416	0.00173776831388	2.44756100546e-05	0.0123846586876	3.1	0.189	0.316	7.3	0.268	0.187	0.097	0.67	0.052	4.103	0.136	0.267	0.141	8830.0	45292.0	96.9	79.9
28149	32.357005	-90.851791	0.00230081648443	0.00765581414289	0.0019750371592	0.0101398814978	0.44916824466	0.522285341966	0.00173070266528	0.000162889662615	0.016227882638	4.0	0.199	0.358	4.8	0.365	0.126	0.19	0.575	0.081	5.537	0.147	0.409	0.234	10766.0	40397.0	82.9	76.7
28143	34.652201	-90.37177	0.00158950923902	0.00337770713292	0.00625869262865	0.0204649314524	0.717067355454	0.246771309358	0.000298032982317	0.000397377309756	0.0164911583549	4.4	0.237	0.421	2.3	0.392	0.113	0.174	0.566	0.123	4.614	0.254	0.66	0.315	12190.0	30689.0	23.7	73.4
28141	34.737699	-88.236067	0.00188966458454	0.00104981365808	0.000262453414519	0.0243556768674	0.033279092961	0.934281665004	0.000472416146134	0.000104981365808	0.0128077266285	3.9	0.19	0.356	7.3	0.344	0.14	0.208	0.431	0.079	3.869	0.098	1.0	0.173	11277.0	35550.0	46.2	78.0
28147	31.164492	-90.103431	0.00164549463569	0.00269861120253	0.00625287961561	0.00605542025933	0.438491410518	0.540841176858	0.000724017639702	0.000131639570855	0.0148094517212	4.1	0.195	0.384	4.8	0.356	0.121	0.241	0.478	0.097	6.131	0.163	1.0	0.224	11608.0	31607.0	38.2	76.7
28145	34.489101	-89.0023	0.00170138757609	0.00230632538092	0.000453703353624	0.022155847102	0.149684298083	0.818216189648	0.00102083254565	0.0	0.0131573972551	4.0	0.202	0.343	6.5	0.344	0.141	0.22	0.495	0.064	4.125	0.157	0.756	0.181	10028.0	37667.0	65.3	78.4
37113	35.152959	-83.421901	0.0035973513307	0.00614414873297	0.000159174837642	0.0223481472049	0.0143894053228	0.948045332994	0.00248312746721	3.18349675283e-05	0.0117152680504	3.8	0.175	0.251	7.3	0.276	0.131	0.253	0.537	0.065	4.845	0.179	0.8	0.163	7295.0	37884.0	65.8	81.2
22123	32.79248	-91.451998	0.0028420964641	0.00175541252194	0.000835910724735	0.0129566162334	0.184318314804	0.7965393296	0.00025077321742	8.35910724735e-05	0.0115355680013	4.2	0.237	0.371	6.7	0.344	0.17	0.228	0.284	0.129	4.976	0.091	1.0	0.188	12937.0	33959.0	32.3	75.8
22121	30.464052	-91.309808	0.0014168190128	0.00255941499086	0.00091407678245	0.0161334552102	0.354067641682	0.621709323583	0.00036563071298	9.1407678245e-05	0.014533820841	3.9	0.213	0.379	7.4	0.298	0.189	0.158	0.552	0.058	5.357	0.13	0.305	0.148	10668.0	51550.0	123.6	79.8
22127	31.941187	-92.641269	0.00582007306049	0.00216704847997	0.000990650733701	0.00780137452789	0.313540957216	0.664540895301	0.000557241037707	0.0	0.0134357005758	4.3	0.254	0.36	6.2	0.332	0.158	0.198	0.41	0.074	6.041	0.123	0.649	0.166	13134.0	36644.0	16.1	75.2
22125	30.872701	-91.421008	0.00198570293884	0.0020518930368	0.00390521577972	0.00615567911041	0.48894625364	0.495896213926	0.000794281175536	0.0	0.00681758009002	3.9	0.239	0.384	5.5	0.275	0.182	0.158	0.425	0.058	5.84	0.152	1.0	0.164	12111.0	53679.0	38.8	79.8
02170	62.182174	-149.407974	0.0557707739561	0.00824593928996	0.000650267024544	0.0247378178699	0.00915908021805	0.859196435983	0.00110683748859	5.53418744293e-05	0.0131990370514	3.0	0.212	0.289	7.8	0.218	0.215	0.209	0.611	0.08	4.172	0.195	0.503	0.124	6991.0	73981.0	3.6	80.1
39135	39.737906	-84.645358	0.0024205108923	0.00383051723733	2.35001057505e-05	0.0051230230536	0.00524052358236	0.977674899537	0.000282001269006	2.35001057505e-05	0.0129720583743	4.0	0.194	0.323	8.0	0.28	0.174	0.13	0.546	0.056	3.953	0.114	0.692	0.141	10840.0	49516.0	99.7	80.0
39137	41.024533	-84.129879	0.00169940664785	0.00201624517541	0.000604873552624	0.0429748257388	0.00190103116539	0.948672158534	0.000403249035083	2.88035025059e-05	0.0127887551126	3.5	0.165	0.333	8.4	0.266	0.196	0.101	0.68	0.045	3.473	0.066	0.847	0.107	9411.0	56519.0	71.5	81.2
39131	39.071365	-83.052921	0.00713932282463	0.00265073867251	0.000212059093801	0.00579628189722	0.00982540467944	0.962253481303	0.000812893192903	3.53431823001e-05	0.0139252138263	4.6	0.235	0.312	5.8	0.26	0.16	0.137	0.402	0.09	4.96	0.169	0.742	0.193	11983.0	40512.0	65.2	77.5
55059	42.579703	-87.424898	0.00446870956544	0.012074352258	0.00245526556632	0.0789156436393	0.0534730331051	0.831950011046	0.00131915296494	2.52469466974e-05	0.0133430113296	3.5	0.174	0.318	7.7	0.226	0.233	0.116	0.612	0.061	4.605	0.177	0.107	0.123	9491.0	53945.0	611.9	80.6
39133	41.16864	-81.196932	0.00197074254995	0.0106290868677	0.000310149647205	0.00661652580704	0.0354345971931	0.933686128557	0.000982140549482	0.0	0.0106032410638	3.9	0.199	0.285	7.2	0.239	0.191	0.12	0.631	0.058	4.444	0.166	0.328	0.156	10087.0	52047.0	331.2	80.1
39139	40.774167	-82.542715	0.00212340744442	0.00596427679241	0.000757244566575	0.00893860854359	0.0945618910817	0.87523419935	0.00160816887334	4.68398700974e-05	0.0121159130652	3.9	0.198	0.33	6.8	0.293	0.166	0.138	0.533	0.064	4.17	0.118	0.321	0.168	9283.0	41948.0	251.3	79.6
21023	38.678523	-84.100355	0.00252670265304	0.000803950844148	0.000344550361778	0.00459400482371	0.00551280578845	0.984610083841	0.000689100723556	0.0	0.0142414149535	4.0	0.219	0.307	7.8	0.296	0.122	0.187	0.523	0.078	4.983	0.108	1.0	0.15	11219.0	41910.0	41.3	76.6
21021	37.6182	-84.873016	0.00361177012145	0.0086399206827	0.000920647285861	0.012959881024	0.0918168620091	0.872596579441	0.0032930845225	0.000106228532984	0.0104103962324	4.2	0.218	0.315	6.3	0.287	0.122	0.171	0.609	0.07	4.679	0.127	0.348	0.171	9324.0	41538.0	157.8	78.7
