X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
x16079	-0.266799668056526	-0.265917154392693	-0.259498901057916	-0.262847730434807	-0.265722315255455	-0.267187002055532	-0.269449789682423	-0.262067105779709	-0.264690535410268	-0.272314098063211
x16073	-0.34361679805983	-0.34641446640277	-0.349562461811261	-0.334393298577632	-0.345530036337583	-0.348128281623124	-0.34869915400546	-0.345297146644523	-0.35066952828941	-0.350200005684967
x16075	-0.477786067636231	-0.478115123676977	-0.488495122643906	-0.487542909826698	-0.480901409411918	-0.479703927918083	-0.476613835152473	-0.486655373310181	-0.483631670606971	-0.486104734650185
x06115	0.0131426730797606	0.0082217233508468	0.0136947178937399	0.0162439194898103	0.0134434622989105	0.0121249662926436	0.0182108869399091	0.0122736741992153	0.0152973187804184	0.0142432381917342
x06111	0.0817963350451822	0.0845150366034784	0.0784327269134323	0.0883033779176259	0.0852645801274614	0.10022703057763	0.0940044949270576	0.0900571643082841	0.0774414112263535	0.0979396553998968
x06113	-0.79309504440564	-0.789992280883753	-0.795911322455569	-0.791839781621385	-0.80266271522185	-0.778337124571537	-0.78399759984568	-0.785812855586434	-0.7793231580751	-0.787252722215541
x01087	-0.358030735386289	-0.351454089587301	-0.341606781612311	-0.334664711458986	-0.349230166922891	-0.354941622081961	-0.338352159429854	-0.341466830207535	-0.330357466185475	-0.353990674622315
x51069	0.122889788353756	0.120950136424173	0.115402925959947	0.125814812132268	0.125362262816014	0.120623042096004	0.111362242473675	0.118860417599143	0.131715035888089	0.115606904142286
x39109	-0.313111044169856	-0.313055479841756	-0.320428087286878	-0.3141441531556	-0.30352051842696	-0.311093511582056	-0.321850320665435	-0.326567474031057	-0.313213144608417	-0.316601236179936
x19155	-0.101239065372066	-0.115369361097278	-0.120390880401521	-0.114060272948311	-0.122415019495716	-0.121492165821662	-0.123868828373942	-0.114179396190513	-0.111617654881737	-0.120440151432657
x39105	0.164870833244591	0.17532381005581	0.18497284934198	0.22510993958534	0.203998730413378	0.188634797345029	0.203153521434745	0.188000746129416	0.215454261389387	0.187903051482501
x19157	-0.379745728262518	-0.376634876717781	-0.393440005692497	-0.368069413114752	-0.416266644397573	-0.364882707086216	-0.381797766535955	-0.401475340714938	-0.389988965018113	-0.393956138421696
x39107	-0.160238080302387	-0.162397419821675	-0.159082322676318	-0.145810722541472	-0.163041690717891	-0.172351330701358	-0.167289731357457	-0.169561627202009	-0.156470017736385	-0.163224560801887
x51061	0.356436623423558	0.360750090793506	0.364618810375999	0.360773177332898	0.363182901255964	0.367097764631613	0.358645453360849	0.363362008351102	0.356798143059003	0.356306958972178
x39101	-0.481710013660419	-0.486264938185416	-0.506158222403387	-0.49943491022809	-0.494874295657971	-0.508829596533402	-0.509965445359917	-0.509026094825632	-0.497981022812451	-0.520942064789017
x19153	-0.251462336840184	-0.243990306483817	-0.303044560874659	-0.29514362000012	-0.247381180356636	-0.247288289481116	-0.304732619992003	-0.257652939862453	-0.272004695371068	-0.261033248098947
x39103	-0.0788584530111582	-0.0654091518573364	-0.0826555599538662	-0.0793127923718176	-0.0764771962735624	-0.0611266884441416	-0.0863149301536886	-0.0360205321534453	-0.0771779764918954	-0.0814761112200575
x40143	0.248368187795393	0.237089436487286	0.244888189267834	0.235681383675181	0.238972996095558	0.236965100464022	0.232102072239332	0.241947640220296	0.239729411677234	0.245282807199893
x22009	0.27295089160082	0.315683428635659	0.30197805248696	0.308418252103604	0.311913633377328	0.319351750499226	0.324614808029208	0.301315901514822	0.312011967366061	0.320724970335147
x01121	-0.169110360597954	-0.171622433269085	-0.159136624516366	-0.171019691628203	-0.165834035917166	-0.177463891122675	-0.175630698436553	-0.18497719202822	-0.180944857022617	-0.169516556321029
x22001	0.105935559227627	0.104831288420904	0.106499300142673	0.125640933600468	0.0921223733758021	0.0932348471308485	0.0781499406318083	0.0913403602645187	0.0999045734377932	0.134103801257143
x22003	-0.0331597952986941	-0.0279231572727797	-0.0244738013463729	-0.0240507533719874	-0.0284953640080643	-0.0141431575131175	-0.0247851789454046	-0.0329562624361183	-0.0287353267449813	-0.0337367649218307
x22005	0.491401371169398	0.485261825466527	0.485840290748662	0.498930357233996	0.488578774904768	0.489798993090511	0.501983307183199	0.484991754683873	0.484069544180784	0.512386449046147
x01123	-0.18680736829414	-0.177388538957942	-0.17564475055999	-0.178722618790251	-0.167998469589153	-0.17925191274524	-0.177732446956671	-0.179895005731603	-0.181135859411409	-0.175041410734041
x22007	0.398476411571786	0.405915042282646	0.399747528014051	0.407501122294566	0.397328153539964	0.397125268740016	0.396324900404729	0.395346269897687	0.402037440960673	0.392012307093429
x06029	-0.796590449125716	-0.803050220178225	-0.817626162136908	-0.802845096717626	-0.811091626369217	-0.786230181821937	-0.794598343394562	-0.807777261586277	-0.805072592140718	-0.814128162049616
x06021	-0.200403745173019	-0.195168343253776	-0.192417035097304	-0.198572012164363	-0.191935507591624	-0.200027825191545	-0.190303015557358	-0.192579803143261	-0.19365513046593	-0.195479318886176
x01125	-0.0443486878327439	-0.0278884831179476	-0.0318172592929601	-0.0249723593607171	-0.0344836259612373	-0.0411642626459616	-0.0293951744295746	-0.0309882315800318	-0.0273587677759754	-0.0329282189683127
x06023	-0.324665773422026	-0.336146473668649	-0.335139481370472	-0.326251429581864	-0.323295939573231	-0.335798857566394	-0.330326656118579	-0.341754549638683	-0.351916479294262	-0.340270779411164
x06025	-0.420857963151537	-0.434918042246445	-0.413549789210754	-0.424365562176738	-0.412214058531139	-0.430336538170759	-0.421222619258562	-0.422985636711596	-0.413624070178745	-0.414987247289681
x06027	-0.176950515794148	-0.205881440514181	-0.181251775050952	-0.174136943801389	-0.191489437792227	-0.180287325546223	-0.193715469584554	-0.182393718882542	-0.196877033612223	-0.192407284923289
x27173	-0.139309171676051	-0.126770177166079	-0.118778480645459	-0.130069481733222	-0.131853704817867	-0.123700063305711	-0.136452326912722	-0.135866213409272	-0.13061402394018	-0.135941212814092
x27171	-0.611976760038264	-0.614432135538109	-0.631880872720271	-0.625226873966299	-0.618331279675675	-0.576786634439165	-0.599477992405603	-0.628197318656909	-0.596811259467146	-0.632757396160467
x21101	-0.183542435778773	-0.187782843925349	-0.184287071676633	-0.183486362785595	-0.186042991915872	-0.191842385849597	-0.188247437490012	-0.19682015136693	-0.19198841400678	-0.197328401291791
x21103	0.0786683380658277	0.0909166612399535	0.0905499137628258	0.0974320248437691	0.0898008268422972	0.0832954486780078	0.0753989766263927	0.0875971116681506	0.0900821924924153	0.0789749108230913
x21107	-0.236307981718901	-0.225782800078409	-0.225817745088685	-0.227087515575686	-0.253291157467188	-0.241671866874894	-0.230332348234724	-0.24887135866069	-0.24267476075622	-0.227747040351294
x21109	-0.266550798569634	-0.259497459982848	-0.2500170035227	-0.264669537993636	-0.249868936300097	-0.252569718544702	-0.253686295928286	-0.248991574834766	-0.257567755114518	-0.251948202495211
x32013	-0.508579736293217	-0.507377987788564	-0.513341367886914	-0.516537785045548	-0.507686580916492	-0.508127771348143	-0.505886454917411	-0.506080991794687	-0.516486381721221	-0.512238609020666
x51840	-0.151992637465454	-0.134716725868858	-0.138885934935249	-0.140728682242643	-0.139214243888698	-0.141586256071141	-0.140638824341576	-0.1409910017201	-0.13952194791682	-0.141209447002894
x32019	-0.331534326749367	-0.307723204383689	-0.319191315967414	-0.305559968603821	-0.330826361056974	-0.320423383612832	-0.328664657607791	-0.33819073613868	-0.348733973411728	-0.3293152261121
x26157	-0.0610986790736227	-0.0522172216268131	-0.0508249387662125	-0.0336951688934167	-0.0136683657645287	-0.0438047279271727	-0.0509064875706389	-0.0447765375751032	-0.0510643760409678	-0.0511545819985944
x42055	-0.203185163335824	-0.205679622865113	-0.229591401479881	-0.219381075949441	-0.222285818000309	-0.20322741132155	-0.230313640209435	-0.234825333564918	-0.222433819590671	-0.232364304269257
x26155	-0.0302158252512398	-0.0345610144387139	-0.027726684534449	-0.0280072091817918	-0.0336146520475191	-0.0296216597353245	-0.0397218960899216	-0.0306407606537986	-0.0276528899804659	-0.0427626561609991
x42057	-0.247366988462433	-0.255607041320067	-0.246743409537479	-0.240829269974594	-0.248529580232858	-0.243377343070182	-0.244966102098603	-0.249280035203895	-0.252245047361367	-0.247145314923326
x12019	0.396132871113534	0.390474268033757	0.383585195360447	0.389021466362566	0.400458954613202	0.389082697114938	0.388370542523891	0.345449707646926	0.392167541744001	0.385870571530838
x42051	-0.0646353639630677	-0.0667965560466063	-0.0700524712132267	-0.0684627918262862	-0.0699555936814516	-0.0664382836182193	-0.0668100316741443	-0.0533670782358669	-0.0570322367098892	-0.0608904384536026
x26151	-0.0364872972161275	-0.0362059998787704	-0.0338593227492014	-0.02580732885667	-0.0389199171145399	-0.0325755925349566	-0.038575226627674	-0.0416133964644647	-0.03838628692396	-0.0396509822492125
x12015	0.455937223968787	0.444208613249231	0.444620115651209	0.456723552559575	0.443906769046837	0.478731488876635	0.460490309172615	0.459122823098302	0.460736829411392	0.474913684178843
x12017	0.136545320577379	0.142925937597957	0.140082605169792	0.13915959348689	0.145873856927873	0.143337658773388	0.148563778744308	0.143770895038397	0.141711835932525	0.139906662159412
x12011	0.310923706480849	0.312694794015823	0.312637027193319	0.314517269538931	0.307289799461494	0.319245131914817	0.3373588499491	0.33222758157921	0.329437840179101	0.317670853350685
x42059	-0.172784884482536	-0.179151241701819	-0.171952579440839	-0.168667538520777	-0.172496715956851	-0.16483092991322	-0.166975701956014	-0.171085007983983	-0.168550826422984	-0.165121941694005
x12013	0.0884182337960386	0.102457989915225	0.0877498887973648	0.0871365399909485	0.0981500712088446	0.0953253559571578	0.0956550449380673	0.0928174472807857	0.096661292525908	0.0983146422397577
x51117	-0.439346586938462	-0.425486846732292	-0.436591208606268	-0.438353801776491	-0.430902094684598	-0.425667610932754	-0.439382900855473	-0.445599174567597	-0.42020024178047	-0.433835592337952
x51111	-0.332869386696188	-0.327631538921121	-0.335686468455469	-0.320792842446189	-0.330237180841545	-0.324861271748247	-0.329021619016433	-0.322162993664474	-0.325373561410744	-0.328995154353996
x51113	-0.534087521409929	-0.552049482803642	-0.54094450274666	-0.538827985215267	-0.53857129602381	-0.537355389809858	-0.533324400259511	-0.530347035966946	-0.525315409489024	-0.535631855142586
x51119	-0.187128979257865	-0.198716755585129	-0.201044786087733	-0.187340768935914	-0.184795557821022	-0.188480676277292	-0.182640666011669	-0.189869140033457	-0.18622108468429	-0.179079676497521
x46005	-0.325429670316934	-0.321568643728629	-0.314030930462112	-0.319826920376793	-0.334452289191818	-0.309637231495045	-0.321202098457715	-0.320907772339593	-0.316762362422454	-0.32629508931578
x17031	0.538033446819493	0.551217881131852	0.546872814678238	0.532423964643163	0.549015618308442	0.557619817341546	0.551210157130765	0.556680140634742	0.551521874938461	0.546500881549504
x17033	-0.401938581872697	-0.386119611291368	-0.411325425152267	-0.389038199625147	-0.397337565765481	-0.389649348005449	-0.381240758250565	-0.388558271162687	-0.393766260437531	-0.407910392445312
x17035	-0.199265528767023	-0.200516732520838	-0.214521107059682	-0.205949107795519	-0.210836528176398	-0.206546006963121	-0.206755116509331	-0.219366731691925	-0.20763249161176	-0.210664604654341
x05139	-0.0974384218179299	-0.10203909019885	-0.104064079637802	-0.101944808121308	-0.117002499744419	-0.122524947159999	-0.101174899907544	-0.102068285619531	-0.105272455842492	-0.111729607040674
x05137	-0.291989064511942	-0.287949138941482	-0.282154505840319	-0.28923128899649	-0.276768183984347	-0.287286061189073	-0.284101879980482	-0.28034458594975	-0.297747962704637	-0.287811752688119
x05135	-0.23575400344617	-0.23361042099237	-0.229738871358325	-0.238824126731351	-0.2234799014145	-0.224690163287192	-0.228820135894192	-0.241716032450919	-0.24318722632572	-0.232103762983452
x05133	-0.595679428114466	-0.597850984835604	-0.597449117673004	-0.595529035928747	-0.603573161536509	-0.607010194720781	-0.593242406906016	-0.599951181642655	-0.603254840611309	-0.604261668825375
x05131	0.025497107879052	0.0244148248471034	0.0200624795744973	0.024109693573119	0.0126237811281998	0.0123184432757789	0.0246419837197764	0.0184608538868825	0.00761132117508528	0.0245834881802084
x26023	0.0734040037356657	0.0675370121639829	0.0801351739569163	0.0755123218462558	0.0700486965053474	0.066568597079573	0.0733064601902132	0.0765060394721656	0.0817192373939213	0.0814929243502718
x05003	-0.198455244020715	-0.199923679985436	-0.187717529627147	-0.198638491738848	-0.203718464003844	-0.196929740491693	-0.207875162306023	-0.203677434886409	-0.198599625937413	-0.201490595668952
x26021	0.303409904276837	0.308070171284237	0.305269964799801	0.313997096226723	0.313621629477823	0.307205811613049	0.300474514371825	0.294283345464346	0.311985748004293	0.299377901337434
x05001	-0.388631701013278	-0.384595378888348	-0.392211531100718	-0.38987268291604	-0.391928680720968	-0.409297000564943	-0.390858978409473	-0.39232006603868	-0.389313178717454	-0.399148013292434
x26027	0.0500309639155939	0.0478214806526918	0.0464995277529681	0.0384394022591438	0.0507944369590089	0.0430865506060265	0.0372121368284603	0.0413816645827318	0.0424658385586039	0.0424424632455697
x05007	-0.188388005011129	-0.194821307440019	-0.186448665934065	-0.189833030781497	-0.190393504834342	-0.18869983252517	-0.178736034223218	-0.190288843179816	-0.193629295317836	-0.178420947970974
x26025	0.151859430040655	0.15459900192806	0.154187164342894	0.149460119908235	0.15396098975328	0.15535086157637	0.154266833657652	0.154710298999985	0.161391738417093	0.144128614186841
x05005	-0.379908865355477	-0.390675038623153	-0.387528019482938	-0.387036678853624	-0.387501784400289	-0.395222163070668	-0.389432838215834	-0.388317449666511	-0.377246766048713	-0.374018264963
x12121	-0.421866148770481	-0.413300370669944	-0.432207126837953	-0.423600446709393	-0.412622900884184	-0.430279944911014	-0.418634346679685	-0.420677788507965	-0.414747938721486	-0.42536205783096
x26029	-0.190037338833358	-0.180907560425104	-0.194188931453967	-0.188089324224777	-0.183053535519396	-0.165750460938519	-0.185185475493435	-0.16798427917328	-0.175702504698445	-0.177244677316142
x05009	-0.278047488930122	-0.280992241831559	-0.281680599392862	-0.280095684690511	-0.284628729440358	-0.281901896023332	-0.280371078952355	-0.290081273201787	-0.27759386097891	-0.299684296291107
x12125	-0.309760602956145	-0.275400802238558	-0.290554465899804	-0.288622253184711	-0.30556088529515	-0.298128342829052	-0.277861317893681	-0.30232822161187	-0.317298769318537	-0.290432562191857
x12127	0.0152599742765865	0.00564912750069419	0.0154076920809129	0.0268678762345935	0.0153232210625127	0.0123647635773558	0.00196523680676057	0.00343190411980625	0.00296170485300766	0.00890150560242088
x01025	-0.273026245415542	-0.282176441285757	-0.274982829891667	-0.275390874413236	-0.276085305930065	-0.271205933512996	-0.278404882738916	-0.274736334033042	-0.263074694040826	-0.278927917758073
x01027	-0.027716288871675	-0.00856881888530654	-0.00904871555132743	0.00357881135185902	-0.0129662074034025	-0.0115910130820154	-0.0111327117073045	-0.0188092463524631	-0.0234776832102297	-0.0200077432248705
x01021	-0.196212903033914	-0.180963146792748	-0.199518208704261	-0.192559270969935	-0.186990791873524	-0.202022681959316	-0.179695349292376	-0.198528475117049	-0.182361743856196	-0.184504972665146
x01029	-0.364837792291956	-0.361215038246822	-0.36332576236377	-0.358326276323489	-0.361182730293524	-0.356405292124046	-0.361588111233885	-0.363159745368044	-0.363598469665831	-0.350525597511325
x40077	-0.473137631625025	-0.477586427933253	-0.474094400224652	-0.479798451105867	-0.482486815652531	-0.472604290988536	-0.463757777512944	-0.475641718543428	-0.469686019663653	-0.468037570800116
x37009	-0.395405137577943	-0.394476708990749	-0.398417445773678	-0.392859728345805	-0.393396885163542	-0.393859777826319	-0.39106980305038	-0.394050316093541	-0.39590118143435	-0.397596600633249
x28107	-0.308984658559006	-0.320164625145341	-0.311248590761685	-0.306874410472641	-0.324843239503665	-0.325592660081734	-0.324931799012387	-0.315828840585966	-0.319679995560071	-0.321721957783195
x37007	-0.43814259590694	-0.419416825171646	-0.42090226115975	-0.423879841774392	-0.421623420477226	-0.44650675636589	-0.420185149987141	-0.437219843131985	-0.423976048827813	-0.439547239540295
x37005	-0.516825351978658	-0.516305268257342	-0.517250049508821	-0.51787570173844	-0.531004037631531	-0.521740894882712	-0.523351752362108	-0.517644203191673	-0.518770348634904	-0.519781447865397
x37003	0.198030824987438	0.182602015977322	0.194360392173169	0.18624540030994	0.193799074679252	0.18775232150474	0.184846644907659	0.184793127416285	0.17543110073427	0.178744697788748
x37001	-0.0723985069389448	-0.0693658911009952	-0.0728773926140229	-0.0724459837174567	-0.065660248296908	-0.0669690964978412	-0.0730883093117284	-0.0660729091330515	-0.0719704745453652	-0.0801619006751028
x48365	0.409961076128317	0.420898127417814	0.419401340042656	0.417117128565074	0.399565132576167	0.42409884283436	0.424670717722059	0.417476687744389	0.422922223376528	0.416911841432686
x36029	-0.196754887036156	-0.185956417151989	-0.194064911530945	-0.188721698974854	-0.187205950456537	-0.179281669942411	-0.18960252066876	-0.186686961166227	-0.190241740737911	-0.193622411961166
x42129	-0.252264782764037	-0.239246380694004	-0.238050830167241	-0.246580735101954	-0.244319387323695	-0.244362382852025	-0.249247533862391	-0.235617678335156	-0.244747589505764	-0.255980718809349
x48363	-0.0625400495737223	-0.0547118537709267	-0.0721828659698683	-0.0703550879075896	-0.0686541751633961	-0.0735957815869756	-0.0682744156688416	-0.0778319343968669	-0.0725289203972726	-0.0779716983214112
x36023	-0.169721423879658	-0.165764488900306	-0.143362378867993	-0.170003688547786	-0.176822968265497	-0.163338405469564	-0.173722166345596	-0.181553228802453	-0.164700489369577	-0.174649080487071
x36021	0.00908102117015733	-0.0106114597241485	0.00126254378390657	-0.00302315236570303	0.000759796804371391	0.00426104066118761	-0.00128762484468808	-0.00018645370248167	-0.00162614143513397	-0.00215944895327327
x36027	0.338908920872895	0.349651510428339	0.349101123670813	0.332177256348821	0.338461562304324	0.358743177044407	0.3500704762892	0.351231366304432	0.34658352594764	0.352390992490041
