X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
30	-0.602318105317484	-0.623969194839904	-0.603833573084351	-0.635562037887855	-0.62187151805235	-0.615459658663299	-0.593103016597882	-0.613442359065814	-0.610291420842865	-0.622215385643409
54	-0.0554679611984431	-0.0504494366171692	-0.0664743802450049	-0.0567509357077682	-0.0582156906873737	-0.0550705988272041	-0.0698625950963021	-0.0735956040659325	-0.0433053392540231	-0.0393782808344357
42	0.199749801813555	0.198760235822097	0.188393026473877	0.189688688774123	0.195437402300707	0.196573231503228	0.191319981789397	0.197889696004937	0.204528423054947	0.208333467779098
48	0.792721796545975	0.80659215798806	0.802235887670424	0.798210345807803	0.798677406492874	0.785642707072872	0.798219195574532	0.777981532577644	0.802282925953083	0.796330934483038
45	0.350494433638134	0.358247861311862	0.354334314262562	0.355916108519485	0.349090883676556	0.346602111059687	0.337743799491945	0.343750173776471	0.355025385417021	0.345228177482855
50	-0.325885755246041	-0.335959643014833	-0.332192635449678	-0.32336116174818	-0.344451020570631	-0.313065244511016	-0.310149219077157	-0.323790534734692	-0.341343691175025	-0.342914458816827
49	-0.395611624472418	-0.395065881625767	-0.383372942837272	-0.399470647439897	-0.382640244200632	-0.387053607806087	-0.38477898324273	-0.395473048868572	-0.398111455113303	-0.38228208845143
53	-0.370817894348504	-0.378423418801468	-0.368036028858588	-0.358914773742789	-0.36856566886764	-0.355462750295344	-0.359520439345761	-0.370017233394944	-0.387030150264882	-0.370009707589278
02	0.489157215701593	0.468537949056977	0.473684654248375	0.48545716962543	0.472989967601312	0.492057948775231	0.489211228907343	0.47075394673339	0.463535596186632	0.471402075841353
25	-0.52990782515556	-0.536194823482376	-0.524094481025679	-0.532662529860051	-0.541767068282354	-0.519989850458795	-0.520585942232411	-0.524636487479139	-0.537989416130807	-0.541587822754517
26	-0.243633325352288	-0.26817586515435	-0.242900125429629	-0.269152442101007	-0.237987282724698	-0.264874203875397	-0.250900599653429	-0.255041197806172	-0.24978957548868	-0.259762501368494
01	-0.0455655335408053	-0.0453594225132227	-0.0367386592962679	-0.0280435121297785	-0.0449150753343895	-0.0526909692178315	-0.0589762229424949	-0.0468106066394608	-0.0273769166511328	-0.0377963724717665
06	-0.692627752240959	-0.704394147465997	-0.70589264826651	-0.6946720540021	-0.693302043793658	-0.668734700580231	-0.684233672774819	-0.714672489235973	-0.710711464536346	-0.703853352704224
21	0.0193885461816387	0.0227711926104596	0.0159472602209663	0.0279189756683213	0.015242331261633	0.0165669289833969	0.0125248635481426	0.0328009451694895	0.0222663383544472	0.0262216109198553
04	-0.328901056680927	-0.315899454787913	-0.330915366727277	-0.329786740527062	-0.313165342089843	-0.315363170734214	-0.325263390755797	-0.319933939104381	-0.328865393112797	-0.312118461568403
05	-0.418119749702375	-0.402776922837446	-0.406617232182578	-0.400926144460289	-0.408577780735439	-0.415531559971195	-0.416591462399984	-0.398967953727081	-0.391018778267224	-0.405156856945686
46	-0.282580659663192	-0.27859449365491	-0.281598873857633	-0.311365346096435	-0.29490990470732	-0.305104246478584	-0.287629300346384	-0.27466965324317	-0.299334707922067	-0.29543341460462
47	0.0765371903628241	0.0866876874517626	0.0770795995988401	0.0830983085143757	0.0936383204344089	0.0659904752820341	0.0665442953782561	0.0812566646735783	0.0813671127337553	0.084992635409746
08	0.118310540865687	0.118499742531319	0.114213058773477	0.0984276764085632	0.110691674397741	0.122567559386035	0.1593244754197	0.115471055568522	0.104929331052301	0.10785821801544
09	0.980806895490876	1.00371507927245	0.970170127984132	0.980689772299678	0.985758191222634	0.984454839530211	0.991738744677087	0.968878637063567	0.979651411885396	0.999614116100695
28	0.0207925396623293	0.0115469293654991	0.00966344037400317	0.0364018225221753	0.0207302463296151	0.0131028569231215	-0.00355165709161204	0.0180276815695393	0.0320280796999893	0.0106276100872224
29	-0.782883319983493	-0.780202069913784	-0.776565771591947	-0.803505183702828	-0.801011980902434	-0.802400116853984	-0.794987493862976	-0.767914060992228	-0.793821806153375	-0.776501618688605
40	-0.013597843187578	-0.00967445945513259	-0.0167071502894593	-0.019085613927509	-0.0464521018486658	-0.0245036248126165	-0.0162524717945327	-0.00673943822174778	-0.01049302823797	-0.0865164051098581
41	-0.514107999123951	-0.542092036742674	-0.526517054428287	-0.53832665275086	-0.538695370255777	-0.533633173032579	-0.52413607648944	-0.532209621394505	-0.539447794020007	-0.525671207470311
51	0.325887936074963	0.322478175359874	0.337404199106716	0.331604340110962	0.323623047503276	0.31677397899274	0.329017226147852	0.330621399460591	0.324452787720938	0.320797610392445
24	0.757026399842481	0.762942594072191	0.750299244484969	0.760542920550666	0.765515514695795	0.75889103391876	0.758674177391995	0.74995396168357	0.765073324579293	0.757218007186693
56	0.0451901923189621	0.0432349491523705	0.0361323466045559	0.0350287347826023	0.0321904414144487	0.0344338451894588	0.0322481794638489	0.0642410714538266	0.0351482255664753	0.0377168817412598
39	-0.159597768938762	-0.167854994123299	-0.166761773715017	-0.161274769343723	-0.162268179219204	-0.161802633721273	-0.172397193556827	-0.16522553764938	-0.158344295106297	-0.165037588100094
27	-0.760055514538123	-0.764682395822889	-0.764563601137043	-0.783197705646562	-0.771418295982192	-0.772567701284104	-0.748521530977802	-0.752493418771132	-0.78202868690514	-0.771473504301791
20	-0.149914341584033	-0.174545422874506	-0.161249129287053	-0.18301843610425	-0.154085005124869	-0.171832963503073	-0.171761346533119	-0.155131231759251	-0.182006483658261	-0.177554389363146
38	-0.233657773758182	-0.244160237766854	-0.254216666586567	-0.268961711966906	-0.250730983466413	-0.254140542612172	-0.255537773801762	-0.236999527608805	-0.272335685577618	-0.257677385896598
11	0.901869835690616	0.899487629216714	0.91347509466406	0.904827039342137	0.900860920052542	0.910464877405408	0.90941722999209	0.903273882669197	0.895727372888721	0.903272976719074
10	0.404686455818738	0.407284108427871	0.400119113874079	0.405049413066073	0.413346858868554	0.411037611735126	0.405102947411673	0.413220488394972	0.409340708568673	0.405556759255672
13	-0.183750892517075	-0.18803264413982	-0.183442072230826	-0.159400506731388	-0.180635852732985	-0.170568730030707	-0.179407534784001	-0.176466134460584	-0.164049245924441	-0.174271648208835
12	0.565695569122023	0.562908375722964	0.570341065735574	0.579867597529582	0.582723702602146	0.564825081292927	0.570142767896851	0.567730880401013	0.583092328740905	0.582472265238379
15	0.311245744323668	0.301512277824351	0.272727292665861	0.270294483991029	0.296476216055717	0.27878911867408	0.309109991699269	0.283821314636402	0.279085107717089	0.260123523193793
22	0.47899974723608	0.493542730330808	0.49299848432539	0.495742909086938	0.47518060769289	0.478931028935232	0.471118831639038	0.483701006098541	0.502038711271979	0.465173721858094
17	0.207907756257904	0.211267381835392	0.196391507861815	0.205644369630069	0.212054891595832	0.209405210487908	0.203482193324494	0.213639123509936	0.213437112204271	0.211691782058034
16	-0.584316881398706	-0.593797813468543	-0.593744512486136	-0.602708972282323	-0.590579310691132	-0.587081998333039	-0.586420962621927	-0.594178092173119	-0.591650061724728	-0.602056163284579
19	-0.662942369766067	-0.674841835506392	-0.665327830938665	-0.676027529121983	-0.679853077442261	-0.684253298321477	-0.683939063892086	-0.670546191355049	-0.687653311577637	-0.690650516962205
18	-0.0692718747919834	-0.0837659380999161	-0.0901310916095229	-0.0749558374621326	-0.0869310268054202	-0.0772536674968313	-0.0858567408891462	-0.0603910017103272	-0.0681762469784118	-0.07196647383548
31	0.0165361357220662	0.0148167847821687	0.0231371656482842	0.0285419491988078	0.0210754946872711	0.0112839998010843	0.0112854400667691	0.0228090091024825	0.013629854593531	0.0108931568145083
23	-0.154698692560461	-0.162870229969547	-0.169616810833106	-0.176190501337516	-0.168478478352042	-0.173315838008124	-0.169730918338552	-0.158200743576219	-0.180357852648126	-0.179159891239443
37	0.401373202199388	0.400096915437442	0.408401864379954	0.402444386086305	0.400597673684811	0.396486442313534	0.402459487372271	0.403958742364322	0.40413612414649	0.414726947113236
36	0.80651370412725	0.821053004017079	0.806071614846437	0.818410292814448	0.807066323340889	0.798250883577394	0.826297606199446	0.807611065284918	0.819302235868048	0.804249580927701
35	-0.81362743688001	-0.848554696489301	-0.828729340739014	-0.824290184199076	-0.826821001221272	-0.81351263569416	-0.831287834014293	-0.831371443876583	-0.85014748333762	-0.842059923184095
34	1.31346736921823	1.31389293655543	1.32146650433692	1.30812182075628	1.33052522889101	1.30637802807243	1.31633954504179	1.32369329326175	1.30726022964672	1.310171175878
33	-0.214300617310901	-0.224747224920963	-0.240980231044404	-0.228202131086425	-0.238120848594571	-0.207890164255193	-0.220135501219893	-0.215851459629146	-0.238258652542378	-0.23086479135863
55	-0.507640290791077	-0.50202386072772	-0.509391827337273	-0.5067303637813	-0.520091903472407	-0.509391864121014	-0.500724108217994	-0.489180434856639	-0.5106052258155	-0.499950994984689
32	-0.148110244750486	-0.150830789268755	-0.145266822298083	-0.146928977041528	-0.158483444097554	-0.146425262017079	-0.141809081426792	-0.141817085518488	-0.148160116242573	-0.142057431944403
44	0.0821527414665246	0.0587665410463632	0.0622521173905557	0.0680691282742099	0.0644249764395138	0.0770640205920921	0.069752643129887	0.0783900018222045	0.0741089595860581	0.0886910990456863
